loss,grad_norm,learning_rate,epoch,step
29.1916,,0.0,2.883672645481285e-05,1
32.4817,,0.0,5.76734529096257e-05,2
30.553,,0.0,8.651017936443855e-05,3
28.5096,,0.0,0.0001153469058192514,4
33.7873,,0.0,0.00014418363227406425,5
27.7857,,0.0,0.0001730203587288771,6
28.5856,,0.0,0.00020185708518368994,7
27.861,,0.0,0.0002306938116385028,8
30.2218,,0.0,0.0002595305380933156,9
29.8214,67.5782470703125,0.0,0.0002883672645481285,10
31.4443,77.25128936767578,6.666666666666667e-06,0.00031720399100294133,11
30.1622,65.00264739990234,1.3333333333333333e-05,0.0003460407174577542,12
28.3238,62.233299255371094,2e-05,0.00037487744391256705,13
26.158,40.43551254272461,2.6666666666666667e-05,0.0004037141703673799,14
27.0087,40.411861419677734,3.3333333333333335e-05,0.00043255089682219276,15
23.1703,25.544727325439453,4e-05,0.0004613876232770056,16
21.8856,22.75229835510254,4.666666666666667e-05,0.0004902243497318184,17
22.5269,22.804723739624023,5.333333333333333e-05,0.0005190610761866312,18
23.4268,21.59979820251465,6e-05,0.0005478978026414442,19
18.9523,22.003923416137695,6.666666666666667e-05,0.000576734529096257,20
19.0912,18.675798416137695,7.333333333333333e-05,0.0006055712555510698,21
19.7754,13.962381362915039,8e-05,0.0006344079820058827,22
17.4934,27.073766708374023,8.666666666666667e-05,0.0006632447084606955,23
16.1431,21.855173110961914,9.333333333333334e-05,0.0006920814349155084,24
14.4912,18.20423126220703,0.0001,0.0007209181613703213,25
13.012,21.570314407348633,9.97938144329897e-05,0.0007497548878251341,26
15.0244,15.094127655029297,9.958762886597939e-05,0.0007785916142799469,27
11.927,16.508438110351562,9.938144329896908e-05,0.0008074283407347598,28
11.1075,16.861539840698242,9.917525773195877e-05,0.0008362650671895727,29
13.4109,14.136560440063477,9.896907216494846e-05,0.0008651017936443855,30
13.5671,11.88437557220459,9.876288659793816e-05,0.0008939385200991983,31
11.8878,14.2691068649292,9.855670103092784e-05,0.0009227752465540112,32
12.7072,11.934008598327637,9.835051546391753e-05,0.000951611973008824,33
11.7685,14.542325973510742,9.814432989690721e-05,0.0009804486994636368,34
11.6828,11.404494285583496,9.793814432989691e-05,0.0010092854259184498,35
11.7695,14.786637306213379,9.77319587628866e-05,0.0010381221523732625,36
12.0498,10.981816291809082,9.752577319587629e-05,0.0010669588788280754,37
13.1421,10.729891777038574,9.731958762886598e-05,0.0010957956052828884,38
11.1167,12.016398429870605,9.711340206185567e-05,0.001124632331737701,39
11.7839,12.540383338928223,9.690721649484537e-05,0.001153469058192514,40
11.553,14.891650199890137,9.670103092783506e-05,0.0011823057846473267,41
12.5264,10.747376441955566,9.649484536082475e-05,0.0012111425111021397,42
13.1696,11.983101844787598,9.628865979381444e-05,0.0012399792375569526,43
12.7978,11.925638198852539,9.608247422680413e-05,0.0012688159640117653,44
8.864,12.270363807678223,9.587628865979382e-05,0.0012976526904665783,45
12.5479,10.562512397766113,9.567010309278352e-05,0.001326489416921391,46
12.7151,10.966524124145508,9.54639175257732e-05,0.001355326143376204,47
9.7811,11.492646217346191,9.525773195876289e-05,0.0013841628698310169,48
13.5299,9.823869705200195,9.505154639175257e-05,0.0014129995962858296,49
12.1818,11.858688354492188,9.484536082474227e-05,0.0014418363227406425,50
12.857,16.364051818847656,9.463917525773196e-05,0.0014706730491954553,51
8.0201,12.176406860351562,9.443298969072165e-05,0.0014995097756502682,52
12.9602,10.393341064453125,9.422680412371135e-05,0.0015283465021050811,53
10.9827,11.342450141906738,9.402061855670103e-05,0.0015571832285598938,54
10.4883,10.386676788330078,9.381443298969073e-05,0.0015860199550147068,55
12.2816,10.70257568359375,9.360824742268042e-05,0.0016148566814695195,56
13.5059,10.67907428741455,9.34020618556701e-05,0.0016436934079243324,57
10.3602,10.66209602355957,9.31958762886598e-05,0.0016725301343791454,58
11.697,12.237507820129395,9.298969072164949e-05,0.001701366860833958,59
10.2211,10.960270881652832,9.278350515463918e-05,0.001730203587288771,60
13.3265,12.851325988769531,9.257731958762888e-05,0.0017590403137435838,61
9.5923,10.501254081726074,9.237113402061856e-05,0.0017878770401983967,62
11.5429,9.87082576751709,9.216494845360825e-05,0.0018167137666532096,63
