step,loss
1,32.4238
2,32.8325
3,33.6235
4,32.8814
5,31.2324
6,30.3252
7,32.1038
8,31.5886
9,33.5865
10,28.062
11,29.3414
12,30.7825
13,28.9086
14,27.7757
15,26.4807
16,22.67
17,24.3515
18,21.3641
19,20.4879
20,20.5044
21,18.8654
22,18.4026
23,16.2318
24,16.1923
25,16.6996
26,13.0851
27,15.5258
28,12.8635
29,15.575
30,12.4233
31,15.0384
32,12.6724
33,10.5308
34,13.1497
35,13.3354
36,11.7904
37,10.5798
38,12.4012
39,11.5018
40,11.1463
41,11.8175
42,11.1131
43,12.6239
44,8.7478
45,11.8569
46,10.0501
47,10.3588
48,14.1829
49,11.1184
50,11.6376
51,12.3146
52,11.5369
53,8.5015
54,10.7678
55,8.4741
56,9.4828
57,12.567
58,9.4591
59,9.8911
60,10.3536
61,11.6571
62,12.2464
63,9.7854
64,11.3705
65,11.489
66,7.7845
67,11.8826
68,12.0628
69,10.8619
70,7.8645
71,9.4583
72,11.1261
73,13.259
74,9.7086
75,10.8705
76,9.0251
77,9.0556
78,12.8568
79,9.1361
80,10.0407
81,9.7096
82,10.7351
83,9.9744
84,10.4787
85,9.7861
86,8.7933
87,9.4994
88,8.8688
89,8.8458
90,9.0958
91,7.6912
92,9.9764
93,10.5516
94,11.9083
95,9.9206
96,12.1166
97,6.8478
98,11.6201
99,9.6453
100,9.6393
101,9.6193
102,12.0057
103,9.9985
104,8.9029
105,9.6553
106,9.9783
107,9.0642
108,10.6714
109,9.7693
110,8.2471
111,11.4505
112,9.73
113,11.8087
114,9.1094
115,9.6557
116,10.4848
117,10.032
118,9.0388
119,7.1903
120,10.9868
121,11.5032
122,10.7725
123,9.6811
124,8.703
125,9.0668
126,10.0419
127,10.2368
128,10.0743
129,8.8597
130,8.8168
131,9.2849
132,7.815
133,10.1448
134,10.1713
135,10.7455
136,8.4873
137,8.2738
138,11.3988
139,10.5168
140,12.3025
141,11.9632
142,11.0909
143,10.2657
144,8.5163
145,9.5765
146,8.9284
147,9.0787
148,7.7464
149,9.2781
150,12.5233
151,9.086
152,9.6855
153,10.3677
154,9.6345
155,8.8506
156,9.7775
157,7.5065
158,11.0231
159,7.6965
160,8.8225
161,11.084
162,10.2016
163,9.2783
164,8.4368
165,10.9144
166,10.7201
167,9.4801
168,7.2924
169,9.5701
170,11.5383
171,12.4777
172,7.861
173,8.9016
174,11.0917
175,7.6685
176,7.4948
177,7.9444
178,7.6282
179,6.7946
180,8.927
181,9.2786
182,8.8569
183,9.3234
184,9.9547
185,8.8732
186,8.4072
187,9.2675
188,7.5881
189,7.279
190,9.4214
191,10.4729
192,10.8026
193,9.8355
194,9.3486
195,8.8957
196,11.2559
197,8.4426
198,7.3453
199,10.393
200,8.5998
201,10.1908
202,10.14
203,10.605
204,9.6282
205,8.599
206,11.3561
207,9.1504
208,9.0311
209,7.7104
210,10.8047
211,8.1444
212,9.7229
213,9.1546
214,8.8736
215,9.2903
216,9.9944
217,9.6172
218,8.4252
219,7.6615
220,7.9899
221,8.1867
222,10.7566
223,8.9767
224,10.6866
225,8.5385
226,10.1018
227,10.2601
228,8.1588
229,9.4963
230,8.0859
231,9.4696
232,10.0395
233,10.4288
234,9.3779
235,9.2371
236,9.7596
237,8.9901
238,11.4549
239,8.3309
240,9.6457
241,8.8902
242,8.7199
243,9.7294
244,7.712
245,7.8248
246,9.1429
247,9.0561
248,9.9311
249,9.057
250,11.6048
251,8.7632
252,9.9151
253,7.521
254,7.7033
255,9.0877
256,7.7763
257,10.341
258,8.4944
259,7.7066
260,10.7683
261,9.6248
262,8.7655
263,10.3965
264,9.6329
265,10.5252
266,9.7738
267,7.1914
268,10.7924
269,9.3301
270,7.6387
271,10.163
272,8.2333
273,7.3971
274,9.4289
275,8.6241
276,8.995
277,7.7343
278,9.3364
279,10.5119
280,8.2346
281,10.1489
282,8.3484
283,9.4305
284,9.1799
285,7.9464
286,8.4737
287,7.454
288,8.9579
289,9.8238
290,6.3873
291,10.5306
292,8.9757
293,9.4427
294,6.0969
295,9.7238
296,9.7951
297,9.1205
298,9.664
299,8.6885
300,8.4814
301,11.0933
302,8.9426
303,6.7303
304,8.1837
305,9.2895
306,10.679
307,8.7445
308,9.5091
309,9.7007
310,7.7464
311,8.0773
312,9.747
313,9.5879
314,7.3998
315,8.4375
316,10.3192
317,10.129
318,11.1593
319,10.879
320,6.6659
321,8.9321
322,6.5506
323,9.3415
324,10.9444
325,8.7794
326,6.1229
327,10.1153
328,8.3094
329,8.431
330,10.4558
331,9.7896
332,8.7864
333,8.7802
334,7.925
335,11.7566
336,11.5706
337,8.0471
338,9.1401
339,6.59
340,9.7228
341,9.3842
342,8.5156
343,7.9459
344,9.0501
345,10.2545
346,7.9489
347,9.4047
348,9.407
349,8.9364
350,7.112
351,10.3108
352,8.9133
353,6.6648
354,9.2128
355,9.4134
356,10.7655
357,10.1421
358,8.3013
359,9.0007
360,10.282
361,6.3964
362,10.4139
363,7.3675
364,7.2863
365,8.67
366,8.8304
367,9.2463
368,8.9298
369,8.1153
370,7.8992
371,7.3065
372,8.3732
373,7.8176
374,7.458
375,8.2679
376,8.3053
377,11.0531
378,10.2733
379,10.5965
380,10.2205
381,10.5632
382,7.5831
383,7.7674
384,9.3058
385,9.7152
386,10.1946
387,8.456
388,8.7573
389,8.3597
390,9.0322
391,9.0212
392,7.1658
393,9.2521
394,8.1673
395,9.349
396,8.1601
397,8.9293
398,8.2215
399,10.0818
400,9.1075
401,7.6114
402,8.7944
403,8.931
404,12.5458
405,8.7428
406,8.2532
407,8.2348
408,9.9336
409,9.9427
410,8.5656
411,9.0333
412,9.1644
413,8.2664
414,9.1711
415,9.4398
416,8.5479
417,10.8387
418,9.1804
419,8.8133
420,9.8961
421,6.4382
422,10.2316
423,9.0478
424,8.3398
425,10.0381
426,9.4294
427,8.3501
428,8.9363
429,9.9426
430,5.1063
431,6.9413
432,9.6234
433,9.6272
434,8.9672
435,8.8795
436,8.99
437,10.8128
438,8.8113
439,8.3406
440,8.9989
441,10.1156
442,11.2133
443,8.3955
444,8.7164
445,10.2967
446,10.1013
447,7.023
448,9.5058
449,7.4875
450,8.6681
451,8.3847
452,10.4892
453,9.7883
454,9.8137
455,9.1349
456,7.1842
457,9.8084
458,11.3483
459,10.619
460,8.6615
461,11.0999
462,9.3368
463,10.2852
464,9.2155
465,8.3868
466,9.1844
467,10.7785
468,7.779
469,8.3455
470,10.4964
471,8.6143
472,8.4917
473,10.0579
474,9.1403
475,9.0841
476,9.0602
477,9.8189
478,9.2867
479,10.1646
480,9.6826
481,9.2115
482,8.6246
483,8.2228
484,9.3274
485,8.621
486,8.5501
487,8.0362
488,8.8692
489,9.0201
490,8.085
491,10.0862
492,7.8833
493,11.4212
494,9.1928
495,7.8636
496,10.1926
497,8.64
498,8.678
499,9.6691
500,9.4549
