loss,grad_norm,learning_rate,num_tokens,mean_token_accuracy,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
32.4238,,0.0,302.0,0.30952097475528717,2.9957609981875646e-05,1,,,,,
32.8325,,0.0,605.0,0.31058841943740845,5.991521996375129e-05,2,,,,,
33.6235,,0.0,984.0,0.30152372643351555,8.987282994562694e-05,3,,,,,
32.8814,,0.0,1274.0,0.31524500250816345,0.00011983043992750259,4,,,,,
31.2324,,0.0,1628.0,0.304304763674736,0.00014978804990937824,5,,,,,
30.3252,,0.0,2075.0,0.2770012691617012,0.00017974565989125387,6,,,,,
32.1038,,0.0,2375.0,0.3317292779684067,0.00020970326987312953,7,,,,,
31.5886,,0.0,2691.0,0.3579750955104828,0.00023966087985500517,8,,,,,
33.5865,,0.0,3028.0,0.3016605041921139,0.0002696184898368808,9,,,,,
28.062,60.19723892211914,0.0,3477.0,0.31900931149721146,0.00029957609981875647,10,,,,,
29.3414,63.02481460571289,6.666666666666667e-06,3917.0,0.32126428186893463,0.0003295337098006321,11,,,,,
30.7825,,1.3333333333333333e-05,4316.0,0.30841128528118134,0.00035949131978250774,12,,,,,
28.9086,63.390472412109375,1.3333333333333333e-05,4743.0,0.3700350224971771,0.0003894489297643834,13,,,,,
27.7757,69.54096221923828,2e-05,5077.0,0.3380969986319542,0.00041940653974625907,14,,,,,
26.4807,51.91036605834961,2.6666666666666667e-05,5473.0,0.33611268177628517,0.0004493641497281347,15,,,,,
22.67,37.12333297729492,3.3333333333333335e-05,5931.0,0.3840191811323166,0.00047932175971001034,16,,,,,
24.3515,47.53646469116211,4e-05,6251.0,0.39119236171245575,0.000509279369691886,17,,,,,
21.3641,26.73777961730957,4.666666666666667e-05,6650.0,0.39387327432632446,0.0005392369796737616,18,,,,,
20.4879,29.116708755493164,5.333333333333333e-05,6962.0,0.4033525809645653,0.0005691945896556372,19,,,,,
20.5044,23.217674255371094,6e-05,7318.0,0.4176233559846878,0.0005991521996375129,20,,,,,
18.8654,25.823326110839844,6.666666666666667e-05,7646.0,0.44502123445272446,0.0006291098096193885,21,,,,,
18.4026,21.24741554260254,7.333333333333333e-05,7956.0,0.42684120684862137,0.0006590674196012642,22,,,,,
16.2318,21.17336654663086,8e-05,8214.0,0.5013973414897919,0.0006890250295831399,23,,,,,
16.1923,20.954795837402344,8.666666666666667e-05,8546.0,0.4324277266860008,0.0007189826395650155,24,,,,,
