step,loss,grad_norm,learning_rate,epoch
1,32.9612,,0.0,4.211945076236206e-05
2,33.9374,,0.0,8.423890152472412e-05
3,33.6279,,0.0,0.00012635835228708617
4,35.2108,,0.0,0.00016847780304944825
5,34.4916,,0.0,0.0002105972538118103
6,33.2106,,0.0,0.00025271670457417233
7,32.7968,,0.0,0.0002948361553365344
8,33.8913,,0.0,0.0003369556060988965
9,34.5631,,0.0,0.0003790750568612585
10,32.5135,89.9338150024414,0.0,0.0004211945076236206
11,32.359,68.85130310058594,6.666666666666667e-06,0.00046331395838598264
12,35.9665,103.14292907714844,1.3333333333333333e-05,0.0005054334091483447
13,29.5624,67.12901306152344,2e-05,0.0005475528599107067
14,30.121,58.12596893310547,2.6666666666666667e-05,0.0005896723106730688
15,28.3317,48.29164505004883,3.3333333333333335e-05,0.0006317917614354309
16,26.7552,33.46843338012695,4e-05,0.000673911212197793
17,23.2039,26.372180938720703,4.666666666666667e-05,0.000716030662960155
18,23.6952,33.738426208496094,5.333333333333333e-05,0.000758150113722517
19,22.0608,29.158201217651367,6e-05,0.0008002695644848791
20,20.5582,27.859336853027344,6.666666666666667e-05,0.0008423890152472412
21,20.041,25.45468521118164,7.333333333333333e-05,0.0008845084660096032
22,17.6553,36.12423324584961,8e-05,0.0009266279167719653
23,16.3111,23.96681022644043,8.666666666666667e-05,0.0009687473675343274
24,13.8272,22.28369903564453,9.333333333333334e-05,0.0010108668182966893
25,14.9324,20.60481071472168,0.0001,0.0010529862690590514
26,12.8594,20.106861114501953,9.97938144329897e-05,0.0010951057198214135
27,14.4637,20.03935432434082,9.958762886597939e-05,0.0011372251705837756
28,11.5008,16.874052047729492,9.938144329896908e-05,0.0011793446213461377
29,13.6321,12.637826919555664,9.917525773195877e-05,0.0012214640721084997
30,13.1729,17.16309356689453,9.896907216494846e-05,0.0012635835228708618
31,12.935,13.966300964355469,9.876288659793816e-05,0.001305702973633224
32,12.4319,13.268835067749023,9.855670103092784e-05,0.001347822424395586
33,11.6878,12.669441223144531,9.835051546391753e-05,0.0013899418751579479
