loss,grad_norm,learning_rate,num_tokens,mean_token_accuracy,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
32.9612,,0.0,288.0,0.30841682851314545,4.211945076236206e-05,1,,,,,
33.9374,,0.0,568.0,0.2719295807182789,8.423890152472412e-05,2,,,,,
33.6279,,0.0,833.0,0.2956860661506653,0.00012635835228708617,3,,,,,
35.2108,,0.0,1090.0,0.3057100288569927,0.00016847780304944825,4,,,,,
34.4916,,0.0,1338.0,0.3112098500132561,0.0002105972538118103,5,,,,,
33.2106,,0.0,1596.0,0.3247878700494766,0.00025271670457417233,6,,,,,
32.7968,,0.0,1864.0,0.3018268533051014,0.0002948361553365344,7,,,,,
33.8913,,0.0,2122.0,0.28737129271030426,0.0003369556060988965,8,,,,,
34.5631,,0.0,2396.0,0.2679302766919136,0.0003790750568612585,9,,,,,
32.5135,89.9338150024414,0.0,2671.0,0.26776303350925446,0.0004211945076236206,10,,,,,
32.359,68.85130310058594,6.666666666666667e-06,3031.0,0.2390325851738453,0.00046331395838598264,11,,,,,
35.9665,103.14292907714844,1.3333333333333333e-05,3227.0,0.30853763967752457,0.0005054334091483447,12,,,,,
29.5624,67.12901306152344,2e-05,3518.0,0.33230653405189514,0.0005475528599107067,13,,,,,
30.121,58.12596893310547,2.6666666666666667e-05,3773.0,0.34238139539957047,0.0005896723106730688,14,,,,,
28.3317,48.29164505004883,3.3333333333333335e-05,4006.0,0.3627953603863716,0.0006317917614354309,15,,,,,
26.7552,33.46843338012695,4e-05,4256.0,0.3306451663374901,0.000673911212197793,16,,,,,
23.2039,26.372180938720703,4.666666666666667e-05,4660.0,0.33439677208662033,0.000716030662960155,17,,,,,
23.6952,33.738426208496094,5.333333333333333e-05,4884.0,0.42491724342107773,0.000758150113722517,18,,,,,
22.0608,29.158201217651367,6e-05,5120.0,0.4018605053424835,0.0008002695644848791,19,,,,,
20.5582,27.859336853027344,6.666666666666667e-05,5393.0,0.4081719443202019,0.0008423890152472412,20,,,,,
20.041,25.45468521118164,7.333333333333333e-05,5668.0,0.42321640998125076,0.0008845084660096032,21,,,,,
17.6553,36.12423324584961,8e-05,5925.0,0.4172787666320801,0.0009266279167719653,22,,,,,
16.3111,23.96681022644043,8.666666666666667e-05,6177.0,0.47967618703842163,0.0009687473675343274,23,,,,,
13.8272,22.28369903564453,9.333333333333334e-05,6399.0,0.5798813998699188,0.0010108668182966893,24,,,,,
14.9324,20.60481071472168,0.0001,6647.0,0.47503986954689026,0.0010529862690590514,25,,,,,
12.8594,20.106861114501953,9.97938144329897e-05,6888.0,0.515415646135807,0.0010951057198214135,26,,,,,
14.4637,20.03935432434082,9.958762886597939e-05,7178.0,0.4723542109131813,0.0011372251705837756,27,,,,,
11.5008,16.874052047729492,9.938144329896908e-05,7418.0,0.5814882963895798,0.0011793446213461377,28,,,,,
13.6321,12.637826919555664,9.917525773195877e-05,7715.0,0.5367594808340073,0.0012214640721084997,29,,,,,
